policy,walker,prefetch_limit,trial,e2e_ms,request_id,request_order,train_n,trial_count,pool_seed,coverage,accuracy,actual_ids,plan_ids,covered_ids,overfetch_ids,undercoverage_ids,topo_idx_ms,ttg_ms,prefetch_ms,materialize_ms,prefetch_wait_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss,db_q,oracle_file,oracle_topology_file,model_file,model_topology_file,selep_events,selep_matched_events,selep_predictions,selep_blocks,selep_blocks_skipped,selep_prewarm_calls,selep_prewarm_ms,selep_errors
dbridge_like,Traverse,0,8,2078.591979108751,28558015-80de-4c80-b3ea-3314a8897247,,,10,,99.9,100.0,1000,999,999,0,1,0.000,0.000,1894.493,1138.700,1964.897,38.062,0.0,0,0,1000,0,1000,,,,,,,,,,,,
dbridge_like,Traverse,0,9,2274.3107303977013,28558015-80de-4c80-b3ea-3314a8897247,,,10,,99.9,100.0,1000,999,999,0,1,0.000,0.000,2080.731,1237.172,2161.327,38.485,0.0,0,0,1000,0,1000,,,,,,,,,,,,
dbridge_like,Traverse,0,10,2188.4480230510235,28558015-80de-4c80-b3ea-3314a8897247,,,10,,99.9,100.0,1000,999,999,0,1,0.000,0.000,1995.958,1212.369,2074.202,39.794,0.0,0,0,1000,0,1000,,,,,,,,,,,,
ttg,Traverse,250,1,2442.031128332019,0b8b176f-7cc5-4c47-a476-492cbbc95fa2,,,10,,,,,,,,,0.000,51.692,28.020,,,2302.834,24.7,248,0,756,0,,,,,,,,,,,,,
ttg,Traverse,250,2,2209.282132796943,0b8b176f-7cc5-4c47-a476-492cbbc95fa2,,,10,,,,,,,,,0.000,50.193,27.198,,,2085.717,24.7,248,0,756,0,,,,,,,,,,,,,
ttg,Traverse,250,3,2249.5960388332605,0b8b176f-7cc5-4c47-a476-492cbbc95fa2,,,10,,,,,,,,,0.000,51.602,26.881,,,2112.561,24.7,248,0,756,0,,,,,,,,,,,,,
ttg,Traverse,250,4,2627.6670368388295,0b8b176f-7cc5-4c47-a476-492cbbc95fa2,,,10,,,,,,,,,0.000,50.145,37.112,,,2491.615,24.7,248,0,756,0,,,,,,,,,,,,,
ttg,Traverse,250,5,2260.2640110999346,0b8b176f-7cc5-4c47-a476-492cbbc95fa2,,,10,,,,,,,,,0.000,52.958,26.954,,,2118.556,24.7,248,0,756,0,,,,,,,,,,,,,
ttg,Traverse,250,6,2168.293295428157,0b8b176f-7cc5-4c47-a476-492cbbc95fa2,,,10,,,,,,,,,0.000,51.831,28.278,,,2033.313,24.7,248,0,756,0,,,,,,,,,,,,,
ttg,Traverse,250,7,2769.907411187887,0b8b176f-7cc5-4c47-a476-492cbbc95fa2,,,10,,,,,,,,,0.000,53.886,37.461,,,2559.607,24.7,248,0,756,0,,,,,,,,,,,,,
ttg,Traverse,250,8,2242.5793344154954,0b8b176f-7cc5-4c47-a476-492cbbc95fa2,,,10,,,,,,,,,0.000,51.181,37.304,,,2105.705,24.7,248,0,756,0,,,,,,,,,,,,,
ttg,Traverse,250,9,2456.2439620494843,0b8b176f-7cc5-4c47-a476-492cbbc95fa2,,,10,,,,,,,,,0.000,52.758,28.053,,,2317.908,24.7,248,0,756,0,,,,,,,,,,,,,
