nodes,run,backend,time_s
330,1,redis,0.001886
330,2,mongodb,0.002062
330,2,redis,0.001691
330,3,mongodb,0.001642
330,3,redis,0.001708
330,4,mongodb,0.001623
330,4,redis,0.001697
330,5,mongodb,0.001554
330,5,redis,0.001695
330,6,mongodb,0.001599
330,6,redis,0.001811
330,7,mongodb,0.001569
330,7,redis,0.001577
330,8,mongodb,0.001543
330,8,redis,0.001700
330,9,mongodb,0.001547
330,9,redis,0.001675
330,10,mongodb,0.001526
330,10,redis,0.001675
340,1,mongodb,0.001664
340,1,redis,0.001918
340,2,mongodb,0.001685
340,2,redis,0.001781
340,3,mongodb,0.001689
340,3,redis,0.001747
340,4,mongodb,0.001605
340,4,redis,0.001728
340,5,mongodb,0.001839
340,5,redis,0.001643
340,6,mongodb,0.001707
340,6,redis,0.001737
340,7,mongodb,0.001644
340,7,redis,0.001624
340,8,mongodb,0.001596
340,8,redis,0.001639
340,9,mongodb,0.001583
340,9,redis,0.001633
340,10,mongodb,0.001577
340,10,redis,0.001633
350,1,mongodb,0.002105
350,1,redis,0.001835
350,2,mongodb,0.001734
350,2,redis,0.001816
350,3,mongodb,0.001713
350,3,redis,0.001797
350,4,mongodb,0.001677
350,4,redis,0.001696
350,5,mongodb,0.001667
350,5,redis,0.001798
350,6,mongodb,0.001666
350,6,redis,0.001825
350,7,mongodb,0.001633
350,7,redis,0.001680
350,8,mongodb,0.001629
350,8,redis,0.001774
350,9,mongodb,0.001787
350,9,redis,0.001764
350,10,mongodb,0.001607
350,10,redis,0.001924
360,1,mongodb,0.001693
360,1,redis,0.001836
360,2,mongodb,0.001792
360,2,redis,0.001858
360,3,mongodb,0.001730
360,3,redis,0.001831
360,4,mongodb,0.001701
360,4,redis,0.001841
360,5,mongodb,0.001669
360,5,redis,0.001964
360,6,mongodb,0.001721
360,6,redis,0.001835
360,7,mongodb,0.001671
360,7,redis,0.001847
360,8,mongodb,0.025487
360,8,redis,0.002136
360,9,mongodb,0.003234
360,9,redis,0.002285
360,10,mongodb,0.002601
360,10,redis,0.002229
370,1,mongodb,0.002240
370,1,redis,0.002017
370,2,mongodb,0.002115
370,2,redis,0.002095
370,3,mongodb,0.001931
370,3,redis,0.001721
370,4,mongodb,0.001982
370,4,redis,0.001778
